;caption_id;image_id;caption;image_path;
13;13;2711;A bathroom with a white sink and a mirror.;training/b/bathroom/ADE_train_00002711.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002711.jpg
14;14;5707;A big closet containing a luster with many different types of clothes, shoes and 2 carpets.;training/c/closet/ADE_train_00005707.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/c/closet/ADE_train_00005707.jpg
15;15;2629;A water closet with a sink, a toilet and a bidet.;training/b/bathroom/ADE_train_00002629.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002629.jpg
16;16;2887;A bathroom with a wooden floor, a bathtube on the right, a sink on the left and a toilet behind the bathtube.;training/b/bathroom/ADE_train_00002887.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002887.jpg
17;17;4456;A room with a bow window and a luster.;training/b/bow_window/indoor/ADE_train_00004456.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bow_window/indoor/ADE_train_00004456.jpg
18;18;101306;An old fashioned dinning room with a table set for 8 person and a richly decorated ceiling. ;validation/d/dining_room/ADE_val_00001306.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/d/dining_room/ADE_val_00001306.jpg
19;19;11397;A small living room with 2 couches, a chimney with burning fire, a mirror and three lamps.;training/l/living_room/ADE_train_00011397.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011397.jpg
20;20;7115;A dining room with a table for 6 persons and a window.;training/d/dining_room/ADE_train_00007115.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/d/dining_room/ADE_train_00007115.jpg
21;21;901;A spacious, rustical living room with 2 white coaches a giant carpet in a cabin made of woods and stones.;training/l/living_room/ADE_train_00000901.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00000901.jpg
22;22;9576;A sleek hotel room with a bed for 2 persons, with night tables on each side and a lila carpet floor.;training/h/hotel_room/ADE_train_00009576.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/h/hotel_room/ADE_train_00009576.jpg
23;23;11192;A living room with mostly blue furniture, yellow painted walls, plants, couches and lamps.;training/l/living_room/ADE_train_00011192.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011192.jpg
24;24;11199;A living room with a bow window and a bookshelf next to a chimney made of red bricks.;training/l/living_room/ADE_train_00011199.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011199.jpg
25;25;4178;A children bedroom with 2 identical single beds separated by night table and with racks decorated with toys.;training/b/bedroom/ADE_train_00004178.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004178.jpg
26;26;352;A bed for 2 persons with 2 night tables, 3 paintings under a lattice.;training/b/bedroom/ADE_train_00000352.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00000352.jpg
27;27;10305;A well-equipped white kitchen with wooden furniture such as stools, cabinets, drawers.;training/k/kitchen/ADE_train_00010305.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010305.jpg
28;28;8444;A garage with a grey car parked inside and two bicycles being attached on some  fixation at the ceiling.;training/g/garage/indoor/ADE_train_00008444.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/g/garage/indoor/ADE_train_00008444.jpg
29;29;15191;A parlor with floorboards, red walls, a chimney under a painting and classic furniture.;training/p/parlor/ADE_train_00015191.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/parlor/ADE_train_00015191.jpg
30;30;896;A vast living room in the ground floor of house with parquet and 3 windows letting in much light and giving access to a garden.;training/l/living_room/ADE_train_00000896.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00000896.jpg
31;31;16825;This is the entrance hall of building with a spiral staircase and white walls.;training/s/staircase/ADE_train_00016825.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/s/staircase/ADE_train_00016825.jpg
32;32;460;A bedroom with a large bed, couch, a ceiling fan, 3 windows equipped with shutter and a white floor carpet.;training/b/bedroom/ADE_train_00000460.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00000460.jpg
33;33;2657;A bathtube next to a window and a washbasin incorporated in a wooden cabinet.;training/b/bathroom/ADE_train_00002657.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002657.jpg
34;34;1927;An empty attic with only a white carpet on the board floor and 3 windows giving a view on a garden’s tree.;training/a/attic/ADE_train_00001927.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/a/attic/ADE_train_00001927.jpg
35;35;101098;A toilet in a tiny room with stone wall panels.;validation/b/bathroom/ADE_val_00001098.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/b/bathroom/ADE_val_00001098.jpg
36;36;4016;A bed room in an attic with 2 single beds, a ceiling fan, 2 paintings and a closet next to a window.;training/b/bedroom/ADE_train_00004016.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004016.jpg
37;37;11126;An asian-styled living room with 2 cups on a low table and a sliding door giving access to a garden.;training/l/living_room/ADE_train_00011126.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011126.jpg
38;38;11319;A living room with Victorian furniture such as 2 couches, a chair with the window curtains shut.;training/l/living_room/ADE_train_00011319.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011319.jpg
39;39;944;A close-up on 3 shelves of a pantry with flour on the upper shelf, breakfast food on the middle shelf and different bottles of oil and vinegar and the lower shelf.;training/p/pantry/ADE_train_00000944.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/pantry/ADE_train_00000944.jpg
40;40;15538;A room with a pool board behind a leather couch.;training/p/poolroom/home/ADE_train_00015538.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/poolroom/home/ADE_train_00015538.jpg
41;41;10650;A kitchen with wooden furniture based in the ground floor of the house.;training/k/kitchen/ADE_train_00010650.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010650.jpg
42;42;10895;5 automatic public washing-machines in silver color.;training/l/laundromat/ADE_train_00010895.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/laundromat/ADE_train_00010895.jpg
43;43;9670;An hotel bedroom with a person sitting on the bed.;training/h/hotel_room/ADE_train_00009670.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/h/hotel_room/ADE_train_00009670.jpg
44;44;2781;A shower tub and a shower curtain with beige tiles on the walls.;training/b/bathroom/ADE_train_00002781.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002781.jpg
45;45;101512;A living room with 2 couches, 2 side tables, 4 paintings and plants.;validation/l/living_room/ADE_val_00001512.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/l/living_room/ADE_val_00001512.jpg
46;46;101469;A narrow kitchen with a view on a boat through a window.;validation/k/kitchen/ADE_val_00001469.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/k/kitchen/ADE_val_00001469.jpg
47;47;100459;A bad-lit kitchen with woden furniture and 2 windows.;validation/k/kitchen/ADE_val_00000459.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/k/kitchen/ADE_val_00000459.jpg
48;48;3793;A bed in a room painted in blue in which the window behind the standing fan lets the light shine.;training/b/bedroom/ADE_train_00003793.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00003793.jpg
49;49;9542;An hotel room with a bed for 2 persons, a ceiling fan and a window.;training/h/hotel_room/ADE_train_00009542.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/h/hotel_room/ADE_train_00009542.jpg
50;50;2584;A bathroom with a toilet, a  walk-in shower and a sink above which a mirror and several light bulbs can be seen.;training/b/bathroom/ADE_train_00002584.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002584.jpg
51;51;606;A well-equipped kitchen empty kitchen on the ground floor of a house.;training/k/kitchen/ADE_train_00000606.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00000606.jpg
52;52;2675;A view of a bath room though a door with a bath tube, a toilet and a bidet.;training/b/bathroom/ADE_train_00002675.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002675.jpg
53;53;10378;A view of a kitchen with white furnitures which can be accessed through the living room.;training/k/kitchen/ADE_train_00010378.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010378.jpg
54;54;192;A room with a window frame made of wood and painting on the right right side.;training/b/bedroom/ADE_train_00000192.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00000192.jpg
55;55;9581;A hotel room with 2 large beds, walls and floor made of stones and wooden furnitures such as a table and a cabinet.;training/h/hotel_room/ADE_train_00009581.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/h/hotel_room/ADE_train_00009581.jpg
56;56;11098;A living room with a parquet floor, a dining table, a couch, a side table, a television and a window door giving acess to a balcony.;training/l/living_room/ADE_train_00011098.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011098.jpg
57;57;13899;A children bedroom with a crib , a window and pink wallpapers.;training/n/nursery/ADE_train_00013899.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/n/nursery/ADE_train_00013899.jpg
58;58;3721;A canopy bed in a room with 3 windows and dark furniture such as a bedside table and dressers. ;training/b/bedroom/ADE_train_00003721.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00003721.jpg
59;59;647;An open-plan American kitchen with white furniture in the foreground and gray tiles on the floor.;training/k/kitchen/ADE_train_00000647.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00000647.jpg
60;60;9318;An home office located next to a living room, with a chair, a table a lamp, many documents and books.;training/h/home_office/ADE_train_00009318.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/h/home_office/ADE_train_00009318.jpg
61;61;4095;A bedroom with a large bed, a mirror a plant and some drawers.;training/b/bedroom/ADE_train_00004095.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004095.jpg
62;62;24;A bathroom with one wall made of marmor-like tiles, the other made of wood, that contain a walk-in shower, a white sink below a mirror and 5 towels.;training/b/bathroom/ADE_train_00000024.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000024.jpg
63;63;100246;A children bedroom with a single bed, a white drawer with a large mirror, 2 paintings and a fake white rabbit.;validation/c/childs_room/ADE_val_00000246.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/c/childs_room/ADE_val_00000246.jpg
64;64;319;A bed room containing 2 single beds with the curtains shut and a bedside table in-between;training/b/bedroom/ADE_train_00000319.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00000319.jpg
65;65;2481;A basement with a chair, 2 stools and table football in the background below the hopper window.;training/b/basement/ADE_train_00002481.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/basement/ADE_train_00002481.jpg
66;66;10284;A kitchen with a long central drawer that encompass the  stove, white floor tiles, and remarkable decoration such as the fake cat and the gingerbread man.;training/k/kitchen/ADE_train_00010284.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010284.jpg
67;67;8480;An empy white room with the ceiling light switched on.;training/g/garage/indoor/ADE_train_00008480.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/g/garage/indoor/ADE_train_00008480.jpg
68;68;10169;A large kitchen with 2 windows, equipped with a side-by-side fridge, white drawers and pantries and kitchen worktops made of marmor.;training/k/kitchen/ADE_train_00010169.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010169.jpg
69;69;20174;2 bunk beds in an attic with walls painted in yellow.;training/y/youth_hostel/ADE_train_00020174.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/y/youth_hostel/ADE_train_00020174.jpg
70;70;15169;A traditional living room with a sofa, 2 chairs a large carpet, a chimney, 5 paintings and a window.;training/p/parlor/ADE_train_00015169.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/parlor/ADE_train_00015169.jpg
71;71;2735;;training/b/bathroom/ADE_train_00002735.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002735.jpg
72;72;6773;;training/d/dinette/home/ADE_train_00006773.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/d/dinette/home/ADE_train_00006773.jpg
73;73;4113;;training/b/bedroom/ADE_train_00004113.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004113.jpg
74;74;100317;;validation/d/dining_room/ADE_val_00000317.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/d/dining_room/ADE_val_00000317.jpg
75;75;8393;;training/g/game_room/ADE_train_00008393.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/g/game_room/ADE_train_00008393.jpg
76;76;6878;;training/d/dining_room/ADE_train_00006878.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/d/dining_room/ADE_train_00006878.jpg
77;77;11303;;training/l/living_room/ADE_train_00011303.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011303.jpg
78;78;4135;;training/b/bedroom/ADE_train_00004135.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004135.jpg
79;79;13886;;training/n/nursery/ADE_train_00013886.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/n/nursery/ADE_train_00013886.jpg
80;80;7233;;training/d/dining_room/ADE_train_00007233.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/d/dining_room/ADE_train_00007233.jpg
81;81;4086;;training/b/bedroom/ADE_train_00004086.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004086.jpg
82;82;19938;;training/w/wet_bar/ADE_train_00019938.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/w/wet_bar/ADE_train_00019938.jpg
83;83;1968;;training/a/attic/ADE_train_00001968.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/a/attic/ADE_train_00001968.jpg
84;84;11308;;training/l/living_room/ADE_train_00011308.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011308.jpg
85;85;2928;;training/b/bathroom/ADE_train_00002928.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002928.jpg
86;86;7362;;training/d/dorm_room/ADE_train_00007362.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/d/dorm_room/ADE_train_00007362.jpg
87;87;760;;training/l/living_room/ADE_train_00000760.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00000760.jpg
88;88;56;;training/b/bathroom/ADE_train_00000056.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000056.jpg
89;89;4094;;training/b/bedroom/ADE_train_00004094.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004094.jpg
90;90;101379;;validation/g/garage/indoor/ADE_val_00001379.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/g/garage/indoor/ADE_val_00001379.jpg
91;91;15419;;training/p/playroom/ADE_train_00015419.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/playroom/ADE_train_00015419.jpg
92;92;2779;;training/b/bathroom/ADE_train_00002779.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002779.jpg
93;93;5464;;training/c/childs_room/ADE_train_00005464.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/c/childs_room/ADE_train_00005464.jpg
94;94;11332;;training/l/living_room/ADE_train_00011332.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011332.jpg
95;95;6984;;training/d/dining_room/ADE_train_00006984.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/d/dining_room/ADE_train_00006984.jpg
